author_birth_place,text,author,author_date_of_birth,tags
in The United States,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,"June 01, 1926","be-yourself,inspirational"
"in Steventon Rectory, Hampshire, The United Kingdom","“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,"December 16, 1775","aliteracy,books,classic,humor"
"in Yate, South Gloucestershire, England, The United Kingdom","“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,"July 31, 1965","abilities,choices"
"in Waco, Texas, The United States","“A day without sunshine is like, you know, night.”",Steve Martin,"August 14, 1945","humor,obvious,simile"
"in Ulm, Germany",“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,"March 14, 1879","change,deep-thoughts,thinking,world"
in The United States,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,"October 11, 1884",misattributed-eleanor-roosevelt
"in Paris, France",“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,"November 22, 1869","life,love"
"in Milan, Ohio, The United States","“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison,"February 11, 1847","edison,failure,inspirational,paraphrased"
"in Springfield, MA, The United States","“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”",Dr. Seuss,"March 02, 1904",fantasy
"in Nine Mile, Saint Ann, Jamaica","“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”",Bob Marley,"February 06, 1945",love
in The United States,“Life is what happens to us while we are making other plans.”,Allen Saunders,"April 24, 1899","fate,life,misattributed-john-lennon,planning,plans"
"in Florida, Missouri, The United States","“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain,"November 30, 1835","books,contentment,friends,friendship,life"
"in Sighet, Romania","“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",Elie Wiesel,"September 30, 1928","activism,apathy,hate,indifference,inspirational,love,opposite,philosophy"
"in Cambridge, England, The United Kingdom","“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”",Douglas Adams,"March 11, 1952","life,navigation"
"in Röcken bei Lützen, Prussian Province of Saxony, Germany","“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",Friedrich Nietzsche,"October 15, 1844","friendship,lack-of-friendship,lack-of-love,love,marriage,unhappy-marriage"
"in Anoka, Minnesota, The United States",“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,Garrison Keillor,"August 07, 1942","humor,religion"
"in Greenville, Mississippi, The United States",“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,Jim Henson,"September 24, 1936",humor
"in Skopje, Macedonia, the Former Yugoslav Republic of","“If you judge people, you have no time to love them.”",Mother Teresa,"August 26, 1910",attributed-no-source
"in Boston, Massachusetts, The United States",“For every minute you are angry you lose sixty seconds of happiness.”,Ralph Waldo Emerson,"May 25, 1803",happiness
"in Parral, Chile","“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",Pablo Neruda,"July 12, 1904","love,poetry"
"in Buenos Aires, Argentina",“I have always imagined that Paradise will be a kind of library.”,Jorge Luis Borges,"August 24, 1899","books,library"
"in Lewes, Sussex, The United Kingdom",“We read to know we're not alone.”,William Nicholson,"January 12, 1948","misattributed-to-c-s-lewis,reading"
"in South Farm, Arbury Hall, Nuneaton, Warwickshire, The United Kingdom",“It is never too late to be what you might have been.”,George Eliot,"November 22, 1819",inspirational
"in Minneapolis, MN, The United States",“All you need is love. But a little chocolate now and then doesn't hurt.”,Charles M. Schulz,"November 26, 1922","chocolate,food,humor"
"in Belfast, Ireland",“You can never get a cup of tea large enough or a book long enough to suit me.”,C.S. Lewis,"November 29, 1898","books,inspirational,reading,tea"
"in Bayonne, New Jersey, The United States","“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”",George R.R. Martin,"September 20, 1948","read,readers,reading,reading-books"
"in Harlem, New York, The United States","“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”",James Baldwin,"August 02, 1924",love
"in Atlanta, Georgia, The United States",“Only in the darkness can you see the stars.”,Martin Luther King Jr.,"January 15, 1929","hope,inspirational"
"in Tuscumbia, Alabama, The United States","“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",Helen Keller,"June 27, 1880",inspirational
"in Dublin, Ireland",“Life isn't about finding yourself. Life is about creating yourself.”,George Bernard Shaw,"July 26, 1856","inspirational,life,yourself"
"in Kyoto, Japan","“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”",Haruki Murakami,"January 12, 1949","books,thought"
"in Oak Park, Illinois, The United States",“There is no friend as loyal as a book.”,Ernest Hemingway,"July 21, 1899","books,friends,novelist-quotes"
"in Connecticut, The United States","“He's like a drug for you, Bella.”",Stephenie Meyer,"December 24, 1973","drug,romance,simile"
"in Paris, France",“The difference between genius and stupidity is: genius has its limits.”,Alexandre Dumas fils,"July 27, 1824",misattributed-to-einstein
"in Hartford, Connecticut, The United States",“You don’t forget the face of the person who was your last hope.”,Suzanne Collins,"August 11, 1962",the-hunger-games
"in Andernach, Germany","“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”",Charles Bukowski,"August 16, 1920",alcohol
"in Bloemfontein, Mangaung, Free State, South Africa",“Not all those who wander are lost.”,J.R.R. Tolkien,"January 03, 1892","bilbo,journey,lost,quest,travel,wander"
"in New York, New York, The United States",“The reason I talk to myself is because I’m the only one whose answers I accept.”,George Carlin,"May 12, 1937","humor,insanity,lies,lying,self-indulgence,truth"
"in Somersby, Lincolnshire, The United Kingdom",“If I had a flower for every time I thought of you...I could walk through my garden forever.”,Alfred Tennyson,"August 06, 1809","friendship,love"
"in Beaconsfield, Buckinghamshire, England, The United Kingdom","“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”",Terry Pratchett,"April 28, 1948","humor,open-mind,thinking"
"in St. Petersburg, Russian Federation",“The question isn't who is going to let me; it's who is going to stop me.”,Ayn Rand,"February 02, 1905",
"in Darby, Pennsylvania, The United States",“I am free of all prejudice. I hate everyone equally. ”,W.C. Fields,"January 29, 1880","humor,sinister"
"in Liverpool, England, The United Kingdom","“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”",John Lennon,"October 09, 1940","beatles,connection,dreamers,dreaming,dreams,hope,inspirational,peace"
"in Manhattan, New York, The United States","“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”",J.D. Salinger,"January 01, 1919","authors,books,literature,reading,writing"
"in Monroeville, Alabama, The United States",“You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”,Harper Lee,"April 28, 1926",better-life-empathy
"in Kabul, Afghanistan",“But better to get hurt by the truth than comforted with a lie.”,Khaled Hosseini,"March 04, 1965",life
"in Cambridge, Massachusetts, The United States",“It takes courage to grow up and become who you really are.”,E.E. Cummings,"October 14, 1894",courage
"in New York City, New York, The United States","“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”",Madeleine L'Engle,"November 29, 1918","books,children,difficult,grown-ups,write,writers,writing"
"in Seattle, Washington, The United States","“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",Jimi Hendrix,"November 27, 1942","death,life"
"in Kirriemuir, Angus, Scotland, The United Kingdom",“To die will be an awfully big adventure.”,J.M. Barrie,"May 09, 1860","adventure,love"
author_birth_place,text,author,author_date_of_birth,tags
